TIPO,BARRIO
Comuna:,Prados Del Norte
Comuna:,Quebrada Gallinacera 2da Parte
Comuna:,Quillotocto
Comuna:,Rincón De Aranda
Comuna:,Rio Blanco
Comuna:,Rio Blanco Que Termina Ojo De Agua
Comuna:,San Albano
Comuna:,Santa Matilde
Comuna:,Sector Pedagógico Avenida Oriental
Comuna:,Sol De Oriente
Comuna:,Termina Sector Peatonal 28
Comuna:,Tescual
Comuna:,Villa Del Rosario
Comuna:,Villa Guerrero - Villas Del Norte
Comuna:,Alameda
Comuna:,Alameda II
Comuna:,Aquine I
Comuna:,Aquine II
Comuna:,Aquine III
Comuna:,Aquine Alto
Comuna:,Aquine IV
Comuna:,Aquine Reservado
Comuna:,Belalcázar
Comuna:,Centenario
Comuna:,Chico
Comuna:,Ciudad Real
Comuna:,Corazón De Jesús
Comuna:,El Calvario
Comuna:,El Común
Comuna:,El Corralito
Comuna:,Hospital Civil
Comuna:,La Floresta
Comuna:,La Lomita
Comuna:,Los Alcázares
Comuna:,Rincón Del Paraíso
Comuna:,Salsipuedes
Comuna:,Villa Elena
Comuna:,Villa Jazmín
Comuna:,Altos De La Carolina
Comuna:,Balcones Del Este
Comuna:,Campiña De Oriente
Comuna:,Carlos Pizarro
Comuna:,Cujacal Bajo
Comuna:,El Manantial
Comuna:,El Paraíso
Comuna:,Fray Ezequiel Moreno Díaz
Comuna:,Gualcala
Comuna:,La Carolina
Comuna:,La Florida
Comuna:,La Josefina
Comuna:,Las Orquídeas
Comuna:,María Paz
Comuna:,María Paz II
Comuna:,Monserrat
Comuna:,Parque De Baviera
Comuna:,San Diego Norte
Comuna:,San Mateo
Comuna:,SENA
Comuna:,Simón Bolívar
Comuna:,Sindagua
Comuna:,Villa Colombia
Comuna:,Villa Adriana María
Comuna:,Villa Ángela
Comuna:,Villa del Prado
Comuna:,Villa Recreo
Comuna:,Villa Rocío
Corregimiento:,Catambuco Centro (Cabecera)
Corregimiento:,El Campanero
Corregimiento:,Bellavista
Corregimiento:,Botana
Corregimiento:,La Merced
Corregimiento:,Botanilla
Corregimiento:,La Victoria
Corregimiento:,San Antonio de Acuyuyo
Corregimiento:,Guadalupe
Corregimiento:,San José de Casanare
Corregimiento:,San Antonio de Casanare
Corregimiento:,Chavez
Corregimiento:,Alto Casanare
Corregimiento:,San José de Catambuco
Corregimiento:,Cruz de Amarillo
Corregimiento:,Santamaría
Corregimiento:,Cubiján Bajo
Corregimiento:,Cubijan Alto
Corregimiento:,Fray Ezequiel
Corregimiento:,San Isidro
Corregimiento:,Gualmatán
Corregimiento:,Huertecillas
Corregimiento:,Nueva Betania
Corregimiento:,Vocacional
Corregimiento:,Gualmatán Alto
Corregimiento:,Gualmatán Centro
Corregimiento:,Gualmatan bajo y Avenida Fátima
Corregimiento:,Genoy (Cabecera)
Corregimiento:,El Edén
Corregimiento:,La Cocha
Corregimiento:,Pullitopamba
Corregimiento:,Aguapamba
Corregimiento:,Castillo Loma
Corregimiento:,Nueva Campiña
Corregimiento:,Charguayaco
Corregimiento:,Bella vista
Corregimiento:,Mapachico Centro (Cabecera)
Corregimiento:,Villa María
Corregimiento:,El Rosal
Corregimiento:,Briceño
Corregimiento:,La Victoria
Corregimiento:,San Cayetano
Corregimiento:,San Francisco Briceño
Corregimiento:,Los LiRíos
Corregimiento:,San Juan De Anganoy Y Anganoy
Corregimiento:,Obonuco Centro (Cabecera)
Corregimiento:,Santander
Corregimiento:,San Felipe Alto
Corregimiento:,San Felipe Bajo
Corregimiento:,San Antonio
Corregimiento:,Bellavista
Corregimiento:,La Playa
Corregimiento:,Mosquera
Corregimiento:,Jurado
Corregimiento:,Santa Barbara
Corregimiento:,Concepción
Corregimiento:,Los Ángeles
Corregimiento:,La Esperanza
Corregimiento:,Las Encinas
Corregimiento:,Cerotal
Corregimiento:,Los Alisales
Corregimiento:,La Laguna Centro (Cabecera)
Corregimiento:,Aguapamba
Corregimiento:,San Luis
Corregimiento:,Alto San Pedro
Corregimiento:,El Barbero y la Playa
Corregimiento:,San Fernando Alto
Corregimiento:,San Fernando Bajo
Corregimiento:,Dolores Centro
Corregimiento:,Buesaquillo Centro (Cabecera)
Corregimiento:,La Alianza
Corregimiento:,San José
Corregimiento:,San Francisco
Corregimiento:,La Huecada
Corregimiento:,Pejendino Reyes
Corregimiento:,El Carmelo
Corregimiento:,Tamboloma
Corregimiento:,Buesaquillo alto
Corregimiento:,Cujacal Centro
Corregimiento:,La Josefina
Corregimiento:,Cujacal san Isidro
Corregimiento:,Cujacal alto villa julia
Corregimiento:,Daza (Cabecera)
Corregimiento:,San Juan Alto
Corregimiento:,San Juan Bajo
Corregimiento:,Tosoabi
Corregimiento:,Chachatoy
Corregimiento:,Pinasaco
Corregimiento:,Tescual
Corregimiento:,San Antonio de Aranda
Corregimiento:,La Josefina
Corregimiento:,Caldera Centro (Cabecera)
Corregimiento:,Alto Caldera
Corregimiento:,San Antonio
Corregimiento:,Pradera Bajo
Corregimiento:,Arrayán Alto
Corregimiento:,Los Arrayanes
Corregimiento:,Villa Campiña
Corregimiento:,El Encano Centro (Cabecera)
Corregimiento:,Ramos
Corregimiento:,Romerillo
Corregimiento:,Motilón
Corregimiento:,Carrizo
Corregimiento:,Casapamba
Corregimiento:,El Socorro
Corregimiento:,Bellavista
Corregimiento:,El Puerto
Corregimiento:,San José
Corregimiento:,Campo Alegre
Corregimiento:,Santa Clara
Corregimiento:,Santa Rosa
Corregimiento:,Mojondinoy
Corregimiento:,Naranjal
Corregimiento:,El Estero
Corregimiento:,Santa Isabel
Corregimiento:,Santa Teresita y Santa Lucía
Corregimiento:,Cabrera Centro (Cabecera)
Corregimiento:,Buenavista
Corregimiento:,Duarte
Corregimiento:,La Paz y El Purgatorio.
Corregimiento:,San Fernando Centro Vereda (Cabecera)
Corregimiento:,Dolores Retén
Corregimiento:,El Común
Corregimiento:,Alto San Fernando
Corregimiento:,La Cadena
Corregimiento:,Camino Real y Caracolito.
Corregimiento:,Mocondino Centro (Cabecera)
Corregimiento:,Canchala
Corregimiento:,Puerres
Corregimiento:,Mocondino y Dolores
Corregimiento:,Jamondino Centro (Cabecera)
Corregimiento:,El Rosario
Corregimiento:,Santa Helena y Jamondino
Corregimiento:,Jongovito Centro
Corregimiento:,Chuquimarca
Corregimiento:,Cruz Loma
Corregimiento:,Josefina
Corregimiento:,Armenia
Corregimiento:,San Pedro
Corregimiento:,San Francisco
Corregimiento:,El Socorro
Corregimiento:,El Carmen
Corregimiento:,Bajo Casanare
Corregimiento:,San Gabriel
