latitud,longitud
1.337282,-77.321826
1.3433418,-77.319697
1.336508,-77.322301
1.336202,-77.337729
1.336189,-77.321712
1.3342692,-77.320622
1.316177,-77.349104
1.335631,-77.319326
1.335584,-77.318909
1.333807,-77.321764
1.333364,-77.322759
1.338087,-77.318744
1.337754,-77.324008
1.333067,-77.32315
1.331994,-77.325398
1.335469,-77.319065
1.333077,-77.322347
1.342944,-77.32023
1.33667,-77.32186
1.333111,-77.323311
1.333435,-77.324582
1.34107,-77.32099
1.328941,-77.332876
1.32907,-77.332922
1.206094,-77.274054
1.310196,-77.335272
1.3291085,-77.332799
1.333477,-77.332502
1.334887,-77.331985
1.33871,-77.35599
1.3390323,-77.327827
1.338161,-77.327598
1.337703,-77.320939
1.333077,-77.322347
1.340774,-77.320027
1.33186,-77.324824
1.332139,-77.32199
