resultados,indicadores,cursos
Personas sin morbilidad evitable,Incidencia de neumonia Streptococcus pneumoniae (Spn),PRIMERA INFANCIA 
Personas sin morbilidad evitable,Incidencia de difteria,PRIMERA INFANCIA 
Personas sin morbilidad evitable,Incidencia de t‚tanos,PRIMERA INFANCIA 
Personas sin morbilidad evitable,Incidencia de tosferina,PRIMERA INFANCIA 
Personas sin morbilidad evitable,Incidencia de meningitis por Haemophilus influenzae (Hi),PRIMERA INFANCIA 
Personas sin morbilidad evitable,Tasa de incidencia de hepatitis B,PRIMERA INFANCIA 
Personas sin morbilidad evitable,Incidencia de parotiditis,PRIMERA INFANCIA 
Personas sin morbilidad evitable,Incidencia de rubeola,PRIMERA INFANCIA 
Personas sin morbilidad evitable,Incidencia de sarampion,PRIMERA INFANCIA 
Personas sin morbilidad evitable,Tasa de incidencia de hepatitis A,PRIMERA INFANCIA 
Personas sin morbilidad evitable,Tasa de incidencia de varicela,PRIMERA INFANCIA 
Personas sin morbilidad evitable,Tasa de incidencia de infeccion respiratoria aguda en menores de 5 a¤os,PRIMERA INFANCIA 
Personas sin morbilidad evitable,Tasa de incidencia de enfermedad diarreica aguda en menores de 5 a¤os,PRIMERA INFANCIA 
Personas sin mortalidad evitable,Tasa ajustada de mortalidad por enfermedades inmunoprevenibles del programa ampliado de inmunizaciones (PAI),PRIMERA INFANCIA 
,,
Personas sin mortalidad evitable,Tasa de mortalidad en la ni¤ez,PRIMERA INFANCIA 
Personas sin mortalidad evitable,Tasa de mortalidad infantil,PRIMERA INFANCIA 
Personas sin mortalidad evitable,Tasa estimada de mortalidad infantil,PRIMERA INFANCIA 
Personas con adecuado estado de salud visual,Proporcion de ni¤os y ni¤as menores de 8 a¤os con ambliopia,PRIMERA INFANCIA E INFANCIA 
Personas con adecuado estado de salud visual,Proporcion de personas tamizadas con agudeza visual normal o corregida,TODOS CURSOS DE VIDA 
Personas con adecuado estado de salud auditiva y comunicativa,Proporcion de personas con adecuado estado de salud auditiva y comunicativa,PRIMER IFANCIA 
Personas con adecuado estado de salud auditiva y comunicativa,Numero de menores de 5 a¤os atendidos en los servicios de salud con diagnostico de otitis media supurativa,PRIMERA INFANCIA 
Personas con adecuado estado de salud bucal,Proporcion de personas atendidas en los servicios de salud con diagnostico de caries dental,TODOS CURSOS DE VIDA 
Personas con adecuado estado de salud bucal,Proporcion de personas atendidas en los servicios de salud con diagnostico de gingivitis y enfermedad periodontal,TODOS CURSOS DE VIDA 
Personas con adecuado estado de salud bucal,Proporcion de personas atendidas en los servicios de salud con diagnostico de fluorosis,PRIMERA INFANCIA A INFANCIA -ADOLESCENCIA 
Personas con adecuado estado de salud bucal,Proporcion de personas mayores de 18 a¤os con perdida dental por enfermedad bucodental prevenible,JUVENTUD-ADULTEZ Y VEJEZ 
Personas con adecuado estado de salud bucal,Proporcion de mujeres y hombres que deciden iniciar sus relaciones sexuales de forma autonoma,ADOLESCENCIA -JUVENTUD-ADULTEZ Y VEJEZ 
Personas que ejercen sus derechos sexuales y reproductivos,Proporcion de personas con conocimientos y prÿcticas de sus derechos sexuales y sus derechos reproductivos,ADOLESCENCIA -JUVENTUD-ADULTEZ Y VEJEZ 
Personas que ejercen sus derechos sexuales y reproductivos,Proporcion de personas que conocen m‚todos anticonceptivos,ADOLESCENCIA -JUVENTUD-ADULTEZ Y VEJEZ 
Personas que ejercen sus derechos sexuales y reproductivos,Tasa de fecundidad en mujeres de 10 a 14 a¤os,ADOLESCENCIA 
Personas que ejercen sus derechos sexuales y reproductivos,Tasa de fecundidad en mujeres de 15 a 19 a¤os,ADOLESCENCIA 
Personas que ejercen sus derechos sexuales y reproductivos,Tasa de fecundidad en mujeres de 20 a 24 a¤os,JUVENTUD 
Personas que ejercen sus derechos sexuales y reproductivos,Tasa general de fecundidad,ADOLESCENCIA -JUVENTUD-ADULTEZ 
Personas que ejercen sus derechos sexuales y reproductivos,Nivel de sensibilidad que tienen los ciudadanos frente a personas que han sido sometidas a estigmas *,TODOS CURSOS DE VIDA 
Personas con prÿcticas que favorecen el establecimiento de relaciones sanas y constructivas,Proporcion de personas que desarrollan capacidades para el establecimiento de relaciones sanas y constructivas *,TODOS CURSOS DE VIDA 
Personas con prÿcticas que favorecen el establecimiento de relaciones sanas y constructivas,Proporcion de personas que desarrollan capacidades para gestion de las emociones,TODOS CURSOS DE VIDA 
Personas con prÿcticas que favorecen el establecimiento de relaciones sanas y constructivas,Personas con habilidades sociales y emocionales para la promocion de la salud mental y convivencia*,TODOS CURSOS DE VIDA 
Personas  con habilidades sociales y emocionales para la promocion de la salud,accidentes y enfermedades relacionadas con el trabajo,INFANCIA -ADOLESCENCIA-JUVENTUD -ADULTEZ Y VEJEZ 
,,
Trabajadores con prÿcticas de cuidado de su salud en el trabajo,Proporcion de personas con capacidades para afrontar los sucesos vitales,TODOS CURSOS DE VIDA 
Personas  con capacidades para afrontar los diferentes sucesos vitales,Personas familias o comunidades que conforman o hacen parte de redes comunitarias y sociales para la promocion de la salud,TODOS CURSOS DE VIDA 
,,
Personas familias y comunidades que cuentan con redes de apoyo comunitarias y sociales para la promocion de la salud,Trabajadores informales abordados desde el PIC que se organizan o hacen parte de una red social o agremiacion,JUVENTUD -ADULTEZ Y VEJEZ 
Personas familias y comunidades que cuentan con redes de apoyo comunitarias y sociales para la promocion de la salud,Grado de disposicion de los ciudadanos a participar en redes grupos e iniciativas de apoyo,JUVENTUD -ADULTEZ Y VEJEZ 
Personas familias y comunidades que cuentan con redes de apoyo comunitarias y sociales para la promocion de la salud,Cuidadores que desarrollan prÿcticas de cuidado de su salud,ADOLESCENCIA- JUVENTUD -ADULTEZ Y VEJEZ 
Personas familia y comunidades con capacidad de agencia y prÿcticas para el cuidado de su salud,Proporcion de personas mayores de 12 a¤os que consumen tabaco *,ADOLESCENCIA- JUVENTUD -ADULTEZ Y VEJEZ 
